Ticker,Cusip,Description,Quantity,Statement Market Value,Statement Date,Date Acquired,Cost Basis,FMV High,FMV Low,FMV Avg,FMV Value,FMV Valuation Method,Dividends Accrued,FMV Valuation Date,Valuation Date Used
TNA,,DIREXION DAILY SMALL CAP,100.8677,4224.34,2024-12-31,,4119.68,41.415,38.05,39.697374999999994,4004.18,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
YINN,,DIREXION DLY FTSE CHNA,70.0,1955.8,2024-12-31,,3089.87,21.11,18.88,19.99,1399.3,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
GPIX,,GOLDMAN SACHS S P 500,10.0,494.5,2024-12-31,,509.5,44.03,43.58,43.801249999999996,438.01,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
CLOA,,ISHARES AAA CLO ACTIVE,141.8302,7342.55,2024-12-31,,7197.63,51.31,51.2,51.249975000000006,7268.79,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
IBIT,,ISHARES BITCOIN ETF,50.0,2652.5,2024-12-31,,1891.4,,,,0.0,,0.0,2024-01-01,2023-12-29
IVV,,ISHARES CORE S&P 500,9.2491,5444.76,2024-12-31,,4618.05,479.2595,472.7,475.844875,4401.14,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
BRLN,,ISHARES FLOATING RT LOAN,193.6446,10122.77,2024-12-31,,10082.55,52.95,52.4,52.672574999999995,10199.76,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
TLT,,ISHARES 20 PLS YEAR,10.6349,928.75,2024-12-31,,1071.78,99.815,98,98.815,1050.89,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
IEF,,ISHARES 7-10 YEAR TRSURY,21.1242,1952.93,2024-12-31,,1997.11,96.64,95.92,96.24875,2033.18,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
JEPQ,,JP MORGAN NASDAQ EQT,124.7674,7034.39,2024-12-31,,6007.93,50.02,49.4116,49.7554,6207.85,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
JAAA,,JANUS HENDERSON AAA CLO,44.3743,2250.22,2024-12-31,,2201.94,50.36,50.29,50.314,2232.65,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
JBBB,,JANUS HENDERSON B BBB,78.4943,3858.78,2024-12-31,,3660.47,47.99,47.87,47.94875,3763.7,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
JEPI,,JPMORGAN EQUITY PREMIUM,33.6586,1936.38,2024-12-31,,1836.8,55.13,54.86,54.972500000000004,1850.3,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
FNGU,,MICROSECTORS FANG+ INDEX,7.0,4085.13,2024-12-31,,2912.8,239.44,210.55,226.6675,1586.67,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
URTY,,PROSHARES ULTRAPRO,40.477,1991.87,2024-12-31,,1955.07,48.76,44.7932,46.723275,1891.22,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
TQQQ,,PROSHARES ULTRAPRO QQQ,16.8491,1333.27,2024-12-31,,1022.91,51.5236,47.265,49.554649999999995,834.95,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
SCHD,,SCHWAB US DIVIDEND,47.2999,1292.23,2024-12-31,,1118.8,25.6667,25.28,25.424599999999998,1202.58,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
CLOI,,VANECK CLO ETF,110.2023,5815.38,2024-12-31,,5713.02,52.21,52.06,52.143750000000004,5746.36,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
VTI,,VANGUARD TOTAL STOCK,21.049,6100.21,2024-12-31,,4831.85,238.47,234.765,236.55624999999998,4979.27,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
AVB,,AVALONBAY CMNTYS INC,10.6347,2339.31,2024-12-31,,1877.23,189.58,185.76,187.68,2013.47,Holiday/Weekend Prorated,17.547255,2024-01-01,2023-12-29
