Ticker,Cusip,Description,Quantity,Statement Market Value,Statement Date,Date Acquired,Cost Basis,FMV High,FMV Low,FMV Avg,FMV Value,FMV Valuation Method,Dividends Accrued,FMV Valuation Date,Valuation Date Used
SPXL,,DIREXION DAILY S&P 500,5.1354,866.34,2024-12-31,,765.06,173.04,163.821,169.21025,868.96,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
TNA,,DIREXION DAILY SMALL CAP,100.8677,4224.34,2024-12-31,,4119.68,43.785,41.1037,42.374625,4274.23,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
YINN,,DIREXION DLY FTSE CHNA,70.0,1955.8,2024-12-31,,3089.87,28.295,26.36,27.35125,1914.59,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
GPIX,,GOLDMAN SACHS S P 500,10.0,494.5,2024-12-31,,509.5,49.84,48.92,49.473675,494.74,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
CLOA,,ISHARES AAA CLO ACTIVE,141.8302,7342.55,2024-12-31,,7197.63,51.8,51.75,51.77,7342.55,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
IBIT,,ISHARES BITCOIN ETF,50.0,2652.5,2024-12-31,,1891.4,55.73,52.9,54.4875,2724.38,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
IVV,,ISHARES CORE S&P 500,9.2491,5444.76,2024-12-31,,4618.05,593.91,583.33,589.477075,5452.13,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
BRLN,,ISHARES FLOATING RT LOAN,193.6446,10122.77,2024-12-31,,10082.55,52.44,52.275,52.353625,10138.0,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
TLT,,ISHARES 20 PLS YEAR,10.6349,928.75,2024-12-31,,1071.78,88.28,87.21,87.71625,932.85,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
IEF,,ISHARES 7-10 YEAR TRSURY,21.1242,1952.93,2024-12-31,,1997.11,92.816,92.31,92.569,1955.45,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
JEPQ,,JP MORGAN NASDAQ EQT,124.7674,7034.39,2024-12-31,,6007.93,56.96,55.82,56.487500000000004,7104.67,Holiday/Weekend Prorated,56.873971616,2025-01-01,2024-12-31
JAAA,,JANUS HENDERSON AAA CLO,44.3743,2250.22,2024-12-31,,2201.94,50.75,50.7,50.72,2250.66,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
JBBB,,JANUS HENDERSON B BBB,78.4943,3858.78,2024-12-31,,3660.47,49.34,49.16,49.2425,3865.26,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
JEPI,,JPMORGAN EQUITY PREMIUM,33.6586,1936.38,2024-12-31,,1836.8,57.9999,57.185,57.578725,1951.31,Holiday/Weekend Prorated,13.287742108,2025-01-01,2024-12-31
FNGU,,MICROSECTORS FANG+ INDEX,7.0,4085.13,2024-12-31,,2912.8,614.3251,571.05,595.38625,4167.7,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
URTY,,PROSHARES ULTRAPRO,40.477,1991.87,2024-12-31,,1955.07,51.466,48.31,49.810175,2016.17,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
TQQQ,,PROSHARES ULTRAPRO QQQ,16.8491,1333.27,2024-12-31,,1022.91,82.1599,76.531,79.743975,1343.61,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
SCHD,,SCHWAB US DIVIDEND,47.2999,1292.23,2024-12-31,,1118.8,27.54,27.1501,27.307525,1291.64,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
CLOI,,VANECK CLO ETF,110.2023,5815.38,2024-12-31,,5713.02,52.8,52.74,52.765,5814.82,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
VTI,,VANGUARD TOTAL STOCK,21.049,6100.21,2024-12-31,,4831.85,292.545,287.345,290.274275,6109.98,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
AVB,,AVALONBAY CMNTYS INC,10.6347,2339.31,2024-12-31,,1877.23,220.79,216.41,218.78875,2344.83,Holiday/Weekend Prorated,18.07899,2025-01-01,2024-12-31
